min,CH5,CH14,CH15,CH40,CH42
0.00195,103.972,-0.0144958,-0.00305185,0,0
0.00196667,103.759,-0.0144958,-0.00152597,0,0
0.00198333,103.575,-0.0143433,-0.00610361,0,0
0.002,103.362,-0.012207,-0.00305185,0,0
0.00201667,103.179,-0.0119019,-0.00152597,0,0
0.00203333,103.057,-0.0102234,-0.00305185,0,0
0.00205,102.843,-0.00961304,-0.00610361,0,0
0.00206667,102.629,-0.00808716,-0.00152597,0,0
0.00208333,102.446,-0.00717163,-0.00305185,0,0
0.0021,102.202,-0.00671387,-9.31E-08,0,0
0.00211667,102.019,-0.00701904,-0.00152597,0,0
0.00213333,101.744,-0.00686646,-0.00457773,0,0
0.00215,101.683,-0.00717163,-0.00305185,0,0
0.00216667,101.47,-0.00732422,-0.00152597,0,0
0.00218333,101.287,-0.00686646,-0.00305185,0,0
0.0022,101.073,-0.00717163,-0.00305185,0,0
0.00221667,100.798,-0.00701904,-0.00305185,0,0
0.00223333,100.737,-0.00579834,-0.00152597,0,0
0.00225,100.402,-0.00473022,-0.00305185,0,0
0.00226667,100.31,-0.00335693,-0.00152597,0,0
0.00228333,100.096,-0.00228882,-9.31E-08,0,0
0.0023,99.9438,-0.000610352,-0.00152597,0,0
0.00231667,99.7302,0.000152588,-0.00305185,0,0
0.00233333,99.5776,0.000457764,-0.00152597,0,0
0.00235,99.303,-0.0012207,-9.31E-08,0,0
0.00236667,99.1199,-0.00228882,-0.00152597,0,0
0.00238333,99.0283,-0.00442505,-0.00305185,0,0
0.0024,98.7537,-0.0062561,-0.00152597,0,0
0.00241667,98.6011,-0.00732422,-0.00152597,0,0
0.00243333,98.4485,-0.00549316,-9.31E-08,0,0
0.00245,98.2654,-0.00320435,-0.00152597,0,0
0.00246667,98.0823,-0.000610352,0.00305166,0,0
0.00248333,97.9907,0.00579834,-0.00152597,0,0
0.0025,97.7161,0.0128174,0.00152579,0,0
0.00251667,97.5635,0.0177002,-9.31E-08,0,0
0.00253333,97.3499,0.0311279,-0.00305185,0,0
0.00255,97.1973,0.0454712,-0.00457773,0,0
